audit_id,event_type,performed_by,customer_id,event_timestamp,event_status,remarks
AUDIT_8001,manual_override,incident_agent,CUST_1252,2026-02-19 05:36:58,Success,Automated system action
AUDIT_8002,case_escalated,relationship_manager,CUST_1183,2026-01-02 02:38:58,Success,Escalated for compliance validation
AUDIT_8003,transaction_reviewed,system_admin,CUST_1400,2026-03-03 20:23:58,Success,Risk threshold exceeded
AUDIT_8004,compliance_rejection,incident_agent,CUST_1180,2026-01-11 17:02:58,Success,Risk threshold exceeded
AUDIT_8005,login_failed,incident_agent,CUST_1131,2026-04-06 14:37:58,Success,Manual review completed
AUDIT_8006,login_success,risk_engine,CUST_1195,2026-02-08 02:46:58,Success,No further action required
AUDIT_8007,transaction_reviewed,risk_engine,CUST_1124,2026-01-23 13:02:58,Success,Escalated for compliance validation
AUDIT_8008,case_escalated,incident_agent,CUST_1172,2026-04-05 20:13:58,Pending,Escalated for compliance validation
AUDIT_8009,login_success,relationship_manager,CUST_1342,2025-12-18 07:21:58,Success,Escalated for compliance validation
AUDIT_8010,manual_override,incident_agent,CUST_1169,2026-05-03 21:35:58,Pending,Risk threshold exceeded
AUDIT_8011,compliance_approval,incident_agent,CUST_1491,2026-04-06 13:34:58,Success,Automated system action
AUDIT_8012,risk_score_generated,risk_engine,CUST_1392,2025-12-02 06:43:58,Failed,Manual review completed
AUDIT_8013,compliance_rejection,risk_engine,CUST_1493,2025-12-15 03:15:58,Failed,Escalated for compliance validation
AUDIT_8014,login_failed,risk_engine,CUST_1494,2025-12-17 06:24:58,Pending,Escalated for compliance validation
AUDIT_8015,manual_override,relationship_manager,CUST_1325,2025-12-31 01:16:58,Success,Risk threshold exceeded
AUDIT_8016,login_failed,relationship_manager,CUST_1299,2026-01-20 16:19:58,Failed,Automated system action
AUDIT_8017,login_failed,incident_agent,CUST_1403,2026-03-20 15:53:58,Pending,Escalated for compliance validation
AUDIT_8018,risk_score_generated,risk_engine,CUST_1460,2026-05-16 15:03:58,Pending,Automated system action
AUDIT_8019,kyc_updated,incident_agent,CUST_1169,2025-12-17 18:33:58,Failed,Escalated for compliance validation
AUDIT_8020,transaction_frozen,system_admin,CUST_1459,2026-01-22 00:22:58,Failed,Risk threshold exceeded
AUDIT_8021,login_failed,compliance_officer,CUST_1410,2025-12-28 21:56:58,Failed,Risk threshold exceeded
